,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
86,Gabby Barrett,The Good Ones,3hLuHKzG1cmlRpq53ZVWd8,77,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,215141,4
87,Soulwax,NY Lipps - Dries Van Noten 2020 Remix,3E3IUPXd3EovxCo5mcRQtW,31,0.781,0.713,10,-9.408,0,0.0531,0.00195,0.502,0.0857,0.0957,129.993,842311,4
88,NerdOut,The 2020 Gaming Rap Up,4GMWVLecuXC5AUl2yvNVwc,23,0.812,0.852,2,-4.069,1,0.177,0.12,0.0,0.31,0.466,125.006,294932,4
89,Future,Drankin N Smokin,0k7wmahjkn389wAZdz19Cv,78,0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,213520,4
90,Buju Banton,400 Years,1XvmMoTPgM5U2N1bfJcxoO,22,0.565,0.692,10,-5.742,0,0.197,0.0678,0.0,0.367,0.884,174.189,248344,4
91,The Kid LAROI,GO (feat. Juice WRLD),2rPHUAeUPbNgTmK18FPTiZ,78,0.487,0.74,6,-4.973,1,0.0944,0.157,0.0,0.612,0.522,73.779,181688,4
92,Greg Sletteland,DJ's Party on Sunset Boulevard Living the Hollywood Life (Electronic Dance Music Festival Hits Remix),5WtaYsqxQ9nUszMKhrCZno,22,0.605,0.906,7,-8.093,0,0.0459,0.000152,0.409,0.14,0.184,128.003,209971,4
93,Internet Money,Lemonade,02kDW379Yfd5PzW5A6vuGt,83,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,195429,4
94,Greg Sletteland,Feeling It Feel It DJ (Jakarta Electronic Dance Music Festival Hits Remix),6xsohTVL2NviYJJiOjwbB0,22,0.737,0.778,8,-12.257,1,0.0379,0.325,0.807,0.0942,0.403,123.996,263226,4
95,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,81,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960,4
96,Greg Sletteland,Drop the Bass DJ (Melbourne Bounce Shuffle Cutting Shapes Hits Remix),4GpQ8LHpAwpwFQKWtmkeBG,22,0.802,0.617,10,-10.619,1,0.111,0.0174,0.94,0.0732,0.569,127.0,181417,4
97,Megan Thee Stallion,Body,0A1hoCfMLkiAgvhWkkucJa,79,0.914,0.732,8,-6.1,0,0.241,0.0166,0.0,0.107,0.469,94.066,171067,4
